Source ,Source Airport,Destination,Destination Airport,Weight
219,Mc Carran Intl,261,Dallas/Fort Worth Intl,0.0972
261,Dallas/Fort Worth Intl,299,Orlando Intl,0.0907
152,Pittsburgh Intll,261,Dallas/Fort Worth Intl,0.1122
261,Dallas/Fort Worth Intl,293,Houston Intercontinental,0.0291
162,Philadelphia Intl,261,Dallas/Fort Worth Intl,0.1295
47,Seattle-Tacoma Intl,261,Dallas/Fort Worth Intl,0.1894
144,Salt Lake City Intl,261,Dallas/Fort Worth Intl,0.1071
261,Dallas/Fort Worth Intl,263,San Diego Intl-Lindbergh Fld,0.1026
261,Dallas/Fort Worth Intl,301,Tampa Intl,0.0876
177,Washington Dulles Intl,261,Dallas/Fort Worth Intl,0.1152
221,Raleigh-Durham Intll,261,Dallas/Fort Worth Intl,0.0972
261,Dallas/Fort Worth Intl,310,Fort Lauderdale/Hollywood Intl,0.1079
232,Memphis Intl,261,Dallas/Fort Worth Intl,0.0414
261,Dallas/Fort Worth Intl,321,Luis Munoz Marin Intl,0.2098
261,Dallas/Fort Worth Intl,296,William P Hobby,0.0323
123,Chicago Midway,261,Dallas/Fort Worth Intl,0.0973
172,Kansas City Intl,261,Dallas/Fort Worth Intl,0.0623
261,Dallas/Fort Worth Intl,292,New Orleans Intl/Moisant Fld/,0.0442
203,San Jose Intll,261,Dallas/Fort Worth Intl,0.1338
65,Portland Intl,261,Dallas/Fort Worth Intl,0.1779
167,Indianapolis Intl,261,Dallas/Fort Worth Intl,0.0851
261,Dallas/Fort Worth Intl,306,Palm Beach Intl,0.1047
197,Metropolitan Oakland Intl,261,Dallas/Fort Worth Intl,0.1363
261,Dallas/Fort Worth Intl,297,San Antonio Intl,0.0329
246,Ontario Intl,261,Dallas/Fort Worth Intl,0.1053
253,John Wayne Airport-Orange Coun,261,Dallas/Fort Worth Intl,0.1064
94,General Mitchell Intll,261,Dallas/Fort Worth Intl,0.1068
183,Sacramento Metropolitan,261,Dallas/Fort Worth Intl,0.1369
261,Dallas/Fort Worth Intl,307,Southwest Florida Intl,0.0987
261,Dallas/Fort Worth Intl,276,El Paso Intl,0.0487
225,Will Rogers World,261,Dallas/Fort Worth Intl,0.0241
169,Reno/Tahoe Intll,261,Dallas/Fort Worth Intl,0.1319
216,Tulsa Intl,261,Dallas/Fort Worth Intl,0.0321
261,Dallas/Fort Worth Intl,284,Jacksonville Intl,0.0815
212,Norfolk Intl,261,Dallas/Fort Worth Intl,0.1128
261,Dallas/Fort Worth Intl,274,Tucson Intl,0.0712
189,Louisville Intl,261,Dallas/Fort Worth Intl,0.0765
133,Eppley Airfield,261,Dallas/Fort Worth Intl,0.0806
239,Adams Field,261,Dallas/Fort Worth Intl,0.0302
202,Richmond Intll,261,Dallas/Fort Worth Intl,0.1097
218,Piedmont Triad Intll,261,Dallas/Fort Worth Intl,0.0923
128,Des Moines Intl,261,Dallas/Fort Worth Intl,0.0844
251,Long Beach /Daugherty Field/,261,Dallas/Fort Worth Intl,0.1079
254,Lubbock Intl,261,Dallas/Fort Worth Intl,0.0255
261,Dallas/Fort Worth Intl,275,Midland Intll,0.0278
198,Wichita Mid-Continent,261,Dallas/Fort Worth Intl,0.0455
222,Mc Ghee Tyson,261,Dallas/Fort Worth Intl,0.072
261,Dallas/Fort Worth Intl,308,Rio Grande Valley Intl,0.0638
261,Dallas/Fort Worth Intl,273,Savannah Intll,0.0809
240,Huntsville Intl-Carl T Jones F,261,Dallas/Fort Worth Intl,0.0549
213,Fresno Air Terminal,261,Dallas/Fort Worth Intl,0.1213
250,Palm Springs Regional,261,Dallas/Fort Worth Intl,0.0996
261,Dallas/Fort Worth Intl,286,Pensacola Regional,0.0553
261,Dallas/Fort Worth Intl,271,Jackson Intll,0.0358
261,Dallas/Fort Worth Intl,281,Mobile Regional,0.0495
261,Dallas/Fort Worth Intl,267,Shreveport Regional,0.0169
242,Santa Barbara Muni,261,Dallas/Fort Worth Intl,0.117
261,Dallas/Fort Worth Intl,309,Mc Allen Miller Intl,0.0645
206,Springfield Regional,261,Dallas/Fort Worth Intl,0.0456
81,Jackson Hole,261,Dallas/Fort Worth Intl,0.1239
220,Drake Field,261,Dallas/Fort Worth Intl,0.0331
261,Dallas/Fort Worth Intl,290,Lafayette Regional,0.0363
261,Dallas/Fort Worth Intl,266,Monroe Regional,0.0257
226,Fort Smith Regional,261,Dallas/Fort Worth Intl,0.0271
261,Dallas/Fort Worth Intl,270,Tyler Pounds Field,0.0097
142,Elko Muni-J.C. Harris Field,261,Dallas/Fort Worth Intl,0.1219
241,Lawton Muni,261,Dallas/Fort Worth Intl,0.0175
261,Dallas/Fort Worth Intl,278,Alexandria Esler Regional,0.028
261,Dallas/Fort Worth Intl,279,Mathis Field,0.0229
261,Dallas/Fort Worth Intl,291,Lake Charles Regional,0.0328
247,Sheppard Afb/Wichita Falls Mun,261,Dallas/Fort Worth Intl,0.0128
261,Dallas/Fort Worth Intl,304,Laredo Intl,0.0526
184,Gunnison County,261,Dallas/Fort Worth Intl,0.0738
261,Dallas/Fort Worth Intl,280,Killeen Muni,0.0176
153,Yampa Valley,261,Dallas/Fort Worth Intl,0.0892
257,Texarkana Regional-Webb Field,261,Dallas/Fort Worth Intl,0.0164
261,Dallas/Fort Worth Intl,269,Gregg County,0.0127
168,Eagle County Regional,261,Dallas/Fort Worth Intl,0.0818
118,Chicago O'hare Intl,255,The William B Hartsfield Atlan,0.0815
255,The William B Hartsfield Atlan,261,Dallas/Fort Worth Intl,0.0646
248,Los Angeles Intl,255,The William B Hartsfield Atlan,0.173
201,San Francisco Intl,255,The William B Hartsfield Atlan,0.1969
150,John F Kennedy Intl,255,The William B Hartsfield Atlan,0.086
166,Stapleton Intl,255,The William B Hartsfield Atlan,0.1195
255,The William B Hartsfield Atlan,311,Miami Intl,0.0779
146,La Guardia,255,The William B Hartsfield Atlan,0.0868
109,General Edward Lawrence Logan,255,The William B Hartsfield Atlan,0.1078
147,Newark Intl,255,The William B Hartsfield Atlan,0.0852
255,The William B Hartsfield Atlan,258,Phoenix Sky Harbor Intl,0.1405
112,Detroit Metropolitan Wayne Cou,255,The William B Hartsfield Atlan,0.0821
255,The William B Hartsfield Atlan,313,Honolulu Intl,0.3924
182,Lambert-St Louis Intl,255,The William B Hartsfield Atlan,0.0574
67,Minneapolis-St Paul Intl/Wold-,255,The William B Hartsfield Atlan,0.1163
219,Mc Carran Intl,255,The William B Hartsfield Atlan,0.1582
255,The William B Hartsfield Atlan,299,Orlando Intl,0.0523
152,Pittsburgh Intll,255,The William B Hartsfield Atlan,0.0688
255,The William B Hartsfield Atlan,293,Houston Intercontinental,0.0657
162,Philadelphia Intl,255,The William B Hartsfield Atlan,0.0757
47,Seattle-Tacoma Intl,255,The William B Hartsfield Atlan,0.2336
230,Charlotte/Douglas Intl,255,The William B Hartsfield Atlan,0.0232
179,Washington National,255,The William B Hartsfield Atlan,0.0624
144,Salt Lake City Intl,255,The William B Hartsfield Atlan,0.156
255,The William B Hartsfield Atlan,263,San Diego Intl-Lindbergh Fld,0.167
255,The William B Hartsfield Atlan,301,Tampa Intl,0.0551
174,Baltimore-Washington Intl,255,The William B Hartsfield Atlan,0.0659
177,Washington Dulles Intl,255,The William B Hartsfield Atlan,0.0618
221,Raleigh-Durham Intll,255,The William B Hartsfield Atlan,0.0357
176,Cincinnati/Northern Kentucky I,255,The William B Hartsfield Atlan,0.0516
255,The William B Hartsfield Atlan,310,Fort Lauderdale/Hollywood Intl,0.0756
232,Memphis Intl,255,The William B Hartsfield Atlan,0.0313
131,Cleveland-Hopkins Intl,255,The William B Hartsfield Atlan,0.0753
255,The William B Hartsfield Atlan,321,Luis Munoz Marin Intl,0.1729
255,The William B Hartsfield Atlan,296,William P Hobby,0.0672
123,Chicago Midway,255,The William B Hartsfield Atlan,0.0796
217,Nashville Intll,255,The William B Hartsfield Atlan,0.0263
172,Kansas City Intl,255,The William B Hartsfield Atlan,0.0752
255,The William B Hartsfield Atlan,292,New Orleans Intl/Moisant Fld/,0.0458
65,Portland Intl,255,The William B Hartsfield Atlan,0.2254
167,Indianapolis Intl,255,The William B Hartsfield Atlan,0.0588
255,The William B Hartsfield Atlan,306,Palm Beach Intl,0.0701
255,The William B Hartsfield Atlan,297,San Antonio Intl,0.0816
246,Ontario Intl,255,The William B Hartsfield Atlan,0.1689
119,Bradley Intl,255,The William B Hartsfield Atlan,0.0992
253,John Wayne Airport-Orange Coun,255,The William B Hartsfield Atlan,0.1703
94,General Mitchell Intll,255,The William B Hartsfield Atlan,0.0906
255,The William B Hartsfield Atlan,288,Robert Mueller Muni,0.0748
161,James M Cox Dayton Intl,255,The William B Hartsfield Atlan,0.0598
159,Port Columbus Intl,255,The William B Hartsfield Atlan,0.0612
255,The William B Hartsfield Atlan,307,Southwest Florida Intl,0.0692
95,Greater Buffalo Intl,255,The William B Hartsfield Atlan,0.0934
255,The William B Hartsfield Atlan,276,El Paso Intl,0.1132
225,Will Rogers World,255,The William B Hartsfield Atlan,0.0691
216,Tulsa Intl,255,The William B Hartsfield Atlan,0.0633
255,The William B Hartsfield Atlan,284,Jacksonville Intl,0.0332
212,Norfolk Intl,255,The William B Hartsfield Atlan,0.0521
92,Syracuse Hancock Intl,255,The William B Hartsfield Atlan,0.0998
91,Greater Rochester Intl,255,The William B Hartsfield Atlan,0.0968
125,Theodore Francis Green State,255,The William B Hartsfield Atlan,0.1017
255,The William B Hartsfield Atlan,256,Birmingham Intl,0.0118
189,Louisville Intl,255,The William B Hartsfield Atlan,0.0438
133,Eppley Airfield,255,The William B Hartsfield Atlan,0.0936
255,The William B Hartsfield Atlan,305,Sarasota/Bradenton Intl,0.0605
239,Adams Field,255,The William B Hartsfield Atlan,0.041
202,Richmond Intll,255,The William B Hartsfield Atlan,0.0517
218,Piedmont Triad Intll,255,The William B Hartsfield Atlan,0.0327
255,The William B Hartsfield Atlan,260,Charleston Afb/Intl,0.0234
157,Harrisburg Intll,255,The William B Hartsfield Atlan,0.0738
237,Greenville-Spartanburg,255,The William B Hartsfield Atlan,0.0165
222,Mc Ghee Tyson,255,The William B Hartsfield Atlan,0.0208
255,The William B Hartsfield Atlan,322,Cyril E King,0.1767
249,Columbia Metropolitan,255,The William B Hartsfield Atlan,0.0171
255,The William B Hartsfield Atlan,273,Savannah Intll,0.0219
255,The William B Hartsfield Atlan,298,Daytona Beach Intl,0.046
240,Huntsville Intl-Carl T Jones F,255,The William B Hartsfield Atlan,0.0152
255,The William B Hartsfield Atlan,287,Tallahassee Regional,0.031
255,The William B Hartsfield Atlan,283,"Baton Rouge Metropolitan, Ryan",0.0453
255,The William B Hartsfield Atlan,286,Pensacola Regional,0.0334
255,The William B Hartsfield Atlan,271,Jackson Intll,0.0315
192,Blue Grass,255,The William B Hartsfield Atlan,0.042
255,The William B Hartsfield Atlan,281,Mobile Regional,0.0342
255,The William B Hartsfield Atlan,300,Melbourne Intll,0.0564
137,Fort Wayne Intll,255,The William B Hartsfield Atlan,0.0702
255,The William B Hartsfield Atlan,267,Shreveport Regional,0.0493
127,Toledo Express,255,The William B Hartsfield Atlan,0.076
234,Lovell Field,255,The William B Hartsfield Atlan,0.0139
223,Asheville Regional,255,The William B Hartsfield Atlan,0.0196
132,Wilkes-Barre/Scranton Intl,255,The William B Hartsfield Atlan,0.0858
255,The William B Hartsfield Atlan,295,Gainesville Regional,0.0394
215,Tri-Cities Regional Tn/Va,255,The William B Hartsfield Atlan,0.0289
255,The William B Hartsfield Atlan,272,Dannelly Field,0.0163
129,Stewart Int'l,255,The William B Hartsfield Atlan,0.0917
255,The William B Hartsfield Atlan,265,Columbus Metropolitan,0.0111
255,The William B Hartsfield Atlan,266,Monroe Regional,0.0403
255,The William B Hartsfield Atlan,289,Panama City-Bay Co Intl,0.0334
184,Gunnison County,255,The William B Hartsfield Atlan,0.1237
118,Chicago O'hare Intl,248,Los Angeles Intl,0.1733
201,San Francisco Intl,248,Los Angeles Intl,0.0406
248,Los Angeles Intl,311,Miami Intl,0.2091
248,Los Angeles Intl,258,Phoenix Sky Harbor Intl,0.0329
182,Lambert-St Louis Intl,248,Los Angeles Intl,0.15
67,Minneapolis-St Paul Intl/Wold-,248,Los Angeles Intl,0.1655
248,Los Angeles Intl,299,Orlando Intl,0.1961
152,Pittsburgh Intll,248,Los Angeles Intl,0.2042
162,Philadelphia Intl,248,Los Angeles Intl,0.227
47,Seattle-Tacoma Intl,248,Los Angeles Intl,0.1305
144,Salt Lake City Intl,248,Los Angeles Intl,0.0731
248,Los Angeles Intl,263,San Diego Intl-Lindbergh Fld,0.0131
248,Los Angeles Intl,301,Tampa Intl,0.1914
232,Memphis Intl,248,Los Angeles Intl,0.1451
172,Kansas City Intl,248,Los Angeles Intl,0.131
248,Los Angeles Intl,292,New Orleans Intl/Moisant Fld/,0.1482
203,San Jose Intll,248,Los Angeles Intl,0.0373
65,Portland Intl,248,Los Angeles Intl,0.1133
197,Metropolitan Oakland Intl,248,Los Angeles Intl,0.041
248,Los Angeles Intl,253,John Wayne Airport-Orange Coun,0.0037
248,Los Angeles Intl,316,Kahului,0.2303
94,General Mitchell Intll,248,Los Angeles Intl,0.1776
183,Sacramento Metropolitan,248,Los Angeles Intl,0.0483
245,Burbank-Glendale-Pasadena,248,Los Angeles Intl,0.0025
169,Reno/Tahoe Intll,248,Los Angeles Intl,0.0536
248,Los Angeles Intl,274,Tucson Intl,0.0418
248,Los Angeles Intl,250,Palm Springs Regional,0.0097
242,Santa Barbara Muni,248,Los Angeles Intl,0.0087
214,Monterey Peninsula,248,Los Angeles Intl,0.0308
248,Los Angeles Intl,331,Pago Pago Intl,0.5326
244,Oxnard,248,Los Angeles Intl,0.0048
168,Eagle County Regional,248,Los Angeles Intl,0.08
182,Lambert-St Louis Intl,201,San Francisco Intl,0.1634
144,Salt Lake City Intl,201,San Francisco Intl,0.0609
201,San Francisco Intl,203,San Jose Intll,0.0033
197,Metropolitan Oakland Intl,201,San Francisco Intl,0.0011
201,San Francisco Intl,253,John Wayne Airport-Orange Coun,0.0441
183,Sacramento Metropolitan,201,San Francisco Intl,0.011
178,Lake Tahoe,201,San Francisco Intl,0.0171
185,Sonoma County,201,San Francisco Intl,0.0088
201,San Francisco Intl,236,Santa Maria Pub/Capt G Allan H,0.0278
118,Chicago O'hare Intl,150,John F Kennedy Intl,0.073
150,John F Kennedy Intl,248,Los Angeles Intl,0.236
150,John F Kennedy Intl,201,San Francisco Intl,0.2491
150,John F Kennedy Intl,311,Miami Intl,0.1456
146,La Guardia,150,John F Kennedy Intl,0.0014
150,John F Kennedy Intl,258,Phoenix Sky Harbor Intl,0.2065
150,John F Kennedy Intl,182,Lambert-St Louis Intl,0.0863
67,Minneapolis-St Paul Intl/Wold-,150,John F Kennedy Intl,0.1069
150,John F Kennedy Intl,219,Mc Carran Intl,0.2151
150,John F Kennedy Intl,299,Orlando Intl,0.1227
150,John F Kennedy Intl,152,Pittsburgh Intll,0.0328
150,John F Kennedy Intl,162,Philadelphia Intl,0.0104
47,Seattle-Tacoma Intl,150,John F Kennedy Intl,0.2555
144,Salt Lake City Intl,150,John F Kennedy Intl,0.1945
150,John F Kennedy Intl,263,San Diego Intl-Lindbergh Fld,0.2335
150,John F Kennedy Intl,301,Tampa Intl,0.1289
150,John F Kennedy Intl,221,Raleigh-Durham Intll,0.0522
150,John F Kennedy Intl,321,Luis Munoz Marin Intl,0.2158
150,John F Kennedy Intl,292,New Orleans Intl/Moisant Fld/,0.1318
150,John F Kennedy Intl,306,Palm Beach Intl,0.1371
150,John F Kennedy Intl,212,Norfolk Intl,0.0379
92,Syracuse Hancock Intl,150,John F Kennedy Intl,0.0264
91,Greater Rochester Intl,150,John F Kennedy Intl,0.0309
150,John F Kennedy Intl,202,Richmond Intll,0.0349
150,John F Kennedy Intl,322,Cyril E King,0.2178
150,John F Kennedy Intl,324,Mercedita,0.2193
118,Chicago O'hare Intl,166,Stapleton Intl,0.089
166,Stapleton Intl,261,Dallas/Fort Worth Intl,0.077
166,Stapleton Intl,248,Los Angeles Intl,0.0886
166,Stapleton Intl,201,San Francisco Intl,0.0914
150,John F Kennedy Intl,166,Stapleton Intl,0.1586
166,Stapleton Intl,311,Miami Intl,0.1832
146,La Guardia,166,Stapleton Intl,0.1583
147,Newark Intl,166,Stapleton Intl,0.1567
166,Stapleton Intl,258,Phoenix Sky Harbor Intl,0.0706
112,Detroit Metropolitan Wayne Cou,166,Stapleton Intl,0.1121
166,Stapleton Intl,313,Honolulu Intl,0.3226
166,Stapleton Intl,182,Lambert-St Louis Intl,0.0746
67,Minneapolis-St Paul Intl/Wold-,166,Stapleton Intl,0.077
166,Stapleton Intl,219,Mc Carran Intl,0.0631
166,Stapleton Intl,299,Orlando Intl,0.1618
152,Pittsburgh Intll,166,Stapleton Intl,0.1258
166,Stapleton Intl,293,Houston Intercontinental,0.1055
162,Philadelphia Intl,166,Stapleton Intl,0.151
47,Seattle-Tacoma Intl,166,Stapleton Intl,0.115
144,Salt Lake City Intl,166,Stapleton Intl,0.0374
166,Stapleton Intl,263,San Diego Intl-Lindbergh Fld,0.0919
166,Stapleton Intl,301,Tampa Intl,0.1603
166,Stapleton Intl,177,Washington Dulles Intl,0.1399
166,Stapleton Intl,232,Memphis Intl,0.0883
166,Stapleton Intl,296,William P Hobby,0.1085
123,Chicago Midway,166,Stapleton Intl,0.0894
166,Stapleton Intl,172,Kansas City Intl,0.052
166,Stapleton Intl,292,New Orleans Intl/Moisant Fld/,0.1196
166,Stapleton Intl,203,San Jose Intll,0.0898
65,Portland Intl,166,Stapleton Intl,0.1059
166,Stapleton Intl,167,Indianapolis Intl,0.0947
166,Stapleton Intl,197,Metropolitan Oakland Intl,0.0905
166,Stapleton Intl,297,San Antonio Intl,0.1032
166,Stapleton Intl,246,Ontario Intl,0.0847
166,Stapleton Intl,253,John Wayne Airport-Orange Coun,0.0881
94,General Mitchell Intll,166,Stapleton Intl,0.0917
166,Stapleton Intl,183,Sacramento Metropolitan,0.0857
166,Stapleton Intl,276,El Paso Intl,0.0766
166,Stapleton Intl,225,Will Rogers World,0.056
166,Stapleton Intl,169,Reno/Tahoe Intll,0.0758
166,Stapleton Intl,216,Tulsa Intl,0.0572
166,Stapleton Intl,274,Tucson Intl,0.0794
133,Eppley Airfield,166,Stapleton Intl,0.0481
45,Spokane Intl,166,Stapleton Intl,0.0988
128,Des Moines Intl,166,Stapleton Intl,0.0596
166,Stapleton Intl,251,Long Beach /Daugherty Field/,0.0883
166,Stapleton Intl,198,Wichita Mid-Continent,0.0431
90,Dane County Regional-Truax Fie,166,Stapleton Intl,0.0855
166,Stapleton Intl,213,Fresno Air Terminal,0.0808
166,Stapleton Intl,250,Palm Springs Regional,0.0821
130,Quad-City,166,Stapleton Intl,0.0749
166,Stapleton Intl,242,Santa Barbara Muni,0.0917
75,Mahlon Sweet Field,166,Stapleton Intl,0.1021
140,Lincoln Muni,166,Stapleton Intl,0.0426
82,Joe Foss Field,166,Stapleton Intl,0.0551
166,Stapleton Intl,206,Springfield Regional,0.0634
148,Greater Peoria Regional,166,Stapleton Intl,0.0779
51,Hector Intll,166,Stapleton Intl,0.0796
81,Jackson Hole,166,Stapleton Intl,0.0472
166,Stapleton Intl,175,Walker Field,0.0195
50,Missoula Intll,166,Stapleton Intl,0.0828
106,Sioux Gateway,166,Stapleton Intl,0.05
41,Minot Intl,166,Stapleton Intl,0.0831
142,Elko Muni-J.C. Harris Field,166,Stapleton Intl,0.0564
166,Stapleton Intl,184,Gunnison County,0.0158
153,Yampa Valley,166,Stapleton Intl,0.0137
166,Stapleton Intl,168,Eagle County Regional,0.0104
118,Chicago O'hare Intl,311,Miami Intl,0.1594
201,San Francisco Intl,311,Miami Intl,0.2423
182,Lambert-St Louis Intl,311,Miami Intl,0.134
67,Minneapolis-St Paul Intl/Wold-,311,Miami Intl,0.1939
152,Pittsburgh Intll,311,Miami Intl,0.1404
162,Philadelphia Intl,311,Miami Intl,0.1369
47,Seattle-Tacoma Intl,311,Miami Intl,0.2976
263,San Diego Intl-Lindbergh Fld,311,Miami Intl,0.1993
301,Tampa Intl,311,Miami Intl,0.0237
221,Raleigh-Durham Intll,311,Miami Intl,0.0966
311,Miami Intl,321,Luis Munoz Marin Intl,0.1011
292,New Orleans Intl/Moisant Fld/,311,Miami Intl,0.0647
203,San Jose Intll,311,Miami Intl,0.2392
306,Palm Beach Intl,311,Miami Intl,0.0086
94,General Mitchell Intll,311,Miami Intl,0.1684
311,Miami Intl,322,Cyril E King,0.1057
287,Tallahassee Regional,311,Miami Intl,0.0486
311,Miami Intl,324,Mercedita,0.1021
118,Chicago O'hare Intl,146,La Guardia,0.0724
146,La Guardia,311,Miami Intl,0.1468
146,La Guardia,182,Lambert-St Louis Intl,0.0862
67,Minneapolis-St Paul Intl/Wold-,146,La Guardia,0.1061
146,La Guardia,299,Orlando Intl,0.1238
146,La Guardia,152,Pittsburgh Intll,0.0325
146,La Guardia,301,Tampa Intl,0.13
146,La Guardia,221,Raleigh-Durham Intll,0.0531
146,La Guardia,232,Memphis Intl,0.0987
123,Chicago Midway,146,La Guardia,0.0714
146,La Guardia,172,Kansas City Intl,0.1071
146,La Guardia,292,New Orleans Intl/Moisant Fld/,0.1326
146,La Guardia,306,Palm Beach Intl,0.1383
119,Bradley Intl,146,La Guardia,0.0126
94,General Mitchell Intll,146,La Guardia,0.0745
146,La Guardia,307,Southwest Florida Intl,0.1418
146,La Guardia,212,Norfolk Intl,0.039
92,Syracuse Hancock Intl,146,La Guardia,0.025
91,Greater Rochester Intl,146,La Guardia,0.0296
146,La Guardia,189,Louisville Intl,0.0654
146,La Guardia,202,Richmond Intll,0.0358
80,Portland Intl Jetport,146,La Guardia,0.0329
146,La Guardia,168,Eagle County Regional,0.1686
109,General Edward Lawrence Logan,118,Chicago O'hare Intl,0.0862
109,General Edward Lawrence Logan,261,Dallas/Fort Worth Intl,0.1605
109,General Edward Lawrence Logan,248,Los Angeles Intl,0.2545
109,General Edward Lawrence Logan,201,San Francisco Intl,0.2655
109,General Edward Lawrence Logan,150,John F Kennedy Intl,0.0218
109,General Edward Lawrence Logan,166,Stapleton Intl,0.1744
109,General Edward Lawrence Logan,311,Miami Intl,0.1652
109,General Edward Lawrence Logan,146,La Guardia,0.0211
109,General Edward Lawrence Logan,147,Newark Intl,0.0227
109,General Edward Lawrence Logan,258,Phoenix Sky Harbor Intl,0.2256
109,General Edward Lawrence Logan,112,Detroit Metropolitan Wayne Cou,0.0629
109,General Edward Lawrence Logan,182,Lambert-St Louis Intl,0.1045
67,Minneapolis-St Paul Intl/Wold-,109,General Edward Lawrence Logan,0.1156
109,General Edward Lawrence Logan,219,Mc Carran Intl,0.2328
109,General Edward Lawrence Logan,299,Orlando Intl,0.1431
109,General Edward Lawrence Logan,152,Pittsburgh Intll,0.0503
109,General Edward Lawrence Logan,293,Houston Intercontinental,0.1714
109,General Edward Lawrence Logan,162,Philadelphia Intl,0.0321
47,Seattle-Tacoma Intl,109,General Edward Lawrence Logan,0.2658
109,General Edward Lawrence Logan,230,Charlotte/Douglas Intl,0.0851
109,General Edward Lawrence Logan,179,Washington National,0.0455
109,General Edward Lawrence Logan,144,Salt Lake City Intl,0.2092
109,General Edward Lawrence Logan,301,Tampa Intl,0.1495
109,General Edward Lawrence Logan,174,Baltimore-Washington Intl,0.042
109,General Edward Lawrence Logan,177,Washington Dulles Intl,0.0464
109,General Edward Lawrence Logan,221,Raleigh-Durham Intll,0.0736
109,General Edward Lawrence Logan,176,Cincinnati/Northern Kentucky I,0.0765
109,General Edward Lawrence Logan,310,Fort Lauderdale/Hollywood Intl,0.1625
109,General Edward Lawrence Logan,232,Memphis Intl,0.1193
109,General Edward Lawrence Logan,131,Cleveland-Hopkins Intl,0.056
109,General Edward Lawrence Logan,321,Luis Munoz Marin Intl,0.23
109,General Edward Lawrence Logan,203,San Jose Intll,0.2638
109,General Edward Lawrence Logan,167,Indianapolis Intl,0.0819
109,General Edward Lawrence Logan,306,Palm Beach Intl,0.1568
