Author1 ID,Author1 Name,Author2 ID,Author2 Name,Weight
132,"Ravasz, E",53,"Vicsek, T",1.025
132,"Ravasz, E",54,"Oltvai, Z",0.375
133,"Neda, Z",33,"Barabasi, A",1.025
133,"Neda, Z",34,"Jeong, H",1.025
133,"Neda, Z",132,"Ravasz, E",0.525
133,"Neda, Z",53,"Vicsek, T",0.525
133,"Neda, Z",54,"Oltvai, Z",0.125
134,"Schubert, A",33,"Barabasi, A",0.525
134,"Schubert, A",34,"Jeong, H",0.525
134,"Schubert, A",132,"Ravasz, E",0.525
134,"Schubert, A",133,"Neda, Z",0.525
134,"Schubert, A",53,"Vicsek, T",0.525
134,"Schubert, A",54,"Oltvai, Z",0.125
136,"Pecora, L",135,"Barahona, M",1
138,"Reinert, G",137,"Barbour, A",1
140,"Gerber, G",139,"Barjoseph, Z",0.111111
141,"Lee, T",139,"Barjoseph, Z",0.111111
141,"Lee, T",140,"Gerber, G",0.111111
142,"Rinaldi, N",139,"Barjoseph, Z",0.111111
142,"Rinaldi, N",140,"Gerber, G",0.111111
142,"Rinaldi, N",141,"Lee, T",0.111111
143,"Yoo, J",139,"Barjoseph, Z",0.111111
143,"Yoo, J",140,"Gerber, G",0.111111
143,"Yoo, J",141,"Lee, T",0.111111
143,"Yoo, J",142,"Rinaldi, N",0.111111
144,"Robert, F",139,"Barjoseph, Z",0.111111
144,"Robert, F",140,"Gerber, G",0.111111
144,"Robert, F",141,"Lee, T",0.111111
144,"Robert, F",142,"Rinaldi, N",0.111111
144,"Robert, F",143,"Yoo, J",0.111111
145,"Gordon, D",139,"Barjoseph, Z",0.111111
145,"Gordon, D",140,"Gerber, G",0.111111
145,"Gordon, D",141,"Lee, T",0.111111
145,"Gordon, D",142,"Rinaldi, N",0.111111
145,"Gordon, D",143,"Yoo, J",0.111111
145,"Gordon, D",144,"Robert, F",0.111111
146,"Fraenkel, E",139,"Barjoseph, Z",0.111111
146,"Fraenkel, E",140,"Gerber, G",0.111111
146,"Fraenkel, E",141,"Lee, T",0.111111
146,"Fraenkel, E",142,"Rinaldi, N",0.111111
146,"Fraenkel, E",143,"Yoo, J",0.111111
146,"Fraenkel, E",144,"Robert, F",0.111111
146,"Fraenkel, E",145,"Gordon, D",0.111111
147,"Jaakkola, T",139,"Barjoseph, Z",0.111111
147,"Jaakkola, T",140,"Gerber, G",0.111111
147,"Jaakkola, T",141,"Lee, T",0.111111
147,"Jaakkola, T",142,"Rinaldi, N",0.111111
147,"Jaakkola, T",143,"Yoo, J",0.111111
147,"Jaakkola, T",144,"Robert, F",0.111111
147,"Jaakkola, T",145,"Gordon, D",0.111111
147,"Jaakkola, T",146,"Fraenkel, E",0.111111
148,"Young, R",139,"Barjoseph, Z",0.111111
148,"Young, R",140,"Gerber, G",0.111111
148,"Young, R",141,"Lee, T",0.111111
148,"Young, R",142,"Rinaldi, N",0.111111
148,"Young, R",143,"Yoo, J",0.111111
148,"Young, R",144,"Robert, F",0.111111
148,"Young, R",145,"Gordon, D",0.111111
148,"Young, R",146,"Fraenkel, E",0.111111
148,"Young, R",147,"Jaakkola, T",0.111111
149,"Barrat, A",71,"Barthelemy, M",1.16667
150,"Pastorsatorras, R",149,"Barrat, A",0.666667
150,"Pastorsatorras, R",71,"Barthelemy, M",0.666667
150,"Pastorsatorras, R",96,"Diazguilera, A",0.833333
150,"Pastorsatorras, R",94,"Arenas, A",0.333333
151,"Vespignani, A",149,"Barrat, A",1.16667
151,"Vespignani, A",71,"Barthelemy, M",1.16667
151,"Vespignani, A",150,"Pastorsatorras, R",4.75
151,"Vespignani, A",127,"Maritan, A",0.333333
152,"Weigt, M",149,"Barrat, A",1
154,"So, P",153,"Barreto, E",1.33333
155,"Gluckmann, B",153,"Barreto, E",0.333333
155,"Gluckmann, B",154,"So, P",0.333333
156,"Schiff, S",153,"Barreto, E",0.333333
156,"Schiff, S",154,"So, P",0.333333
156,"Schiff, S",155,"Gluckmann, B",0.333333
157,"Gondran, B",71,"Barthelemy, M",0.5
158,"Guichard, E",71,"Barthelemy, M",0.5
158,"Guichard, E",157,"Gondran, B",0.5
161,"Mrvar, A",160,"Batagelj, V",1
163,"Catanzaro, M",162,"Battiston, S",1
165,"Longley, P",164,"Batty, M",1
167,"Bernard, D",166,"Bauer, M",1
170,"Schikorski, T",169,"Bchklovskii, D",0.5
171,"Stevens, C",169,"Bchklovskii, D",0.5
171,"Stevens, C",170,"Schikorski, T",0.5
173,"Moody, J",172,"Bearman, P",0.5
174,"Stovel, K",172,"Bearman, P",1.5
174,"Stovel, K",173,"Moody, J",0.5
176,"Bekessy, P",175,"Bekessy, A",0.5
177,"Komlos, J",175,"Bekessy, A",0.5
177,"Komlos, J",176,"Bekessy, P",0.5
180,"Belykh, V",179,"Belykh, I",1
181,"Hasler, M",179,"Belykh, I",1
181,"Hasler, M",180,"Belykh, V",1
183,"Canfield, E",182,"Bender, E",1
184,"Bennaim, E",55,"Krapivsky, P",0.5
184,"Bennaim, E",56,"Redner, S",0.5
185,"Frauenfelder, H",184,"Bennaim, E",0.5
186,"Toroczkai, Z",184,"Bennaim, E",0.5
186,"Toroczkai, Z",185,"Frauenfelder, H",0.5
188,"Lassig, M",187,"Berg, J",1.5
189,"Wagner, A",187,"Berg, J",0.5
189,"Wagner, A",188,"Lassig, M",0.5
190,"Berlow, E",33,"Barabasi, A",0.583333
191,"Bernardes, A",46,"Stauffer, D",0.833333
192,"Costa, U",191,"Bernardes, A",0.333333
192,"Costa, U",46,"Stauffer, D",0.333333
193,"Araujo, A",191,"Bernardes, A",0.333333
193,"Araujo, A",192,"Costa, U",0.333333
193,"Araujo, A",46,"Stauffer, D",0.333333
194,"Kertesz, J",191,"Bernardes, A",0.5
194,"Kertesz, J",46,"Stauffer, D",0.5
196,"Killworth, P",195,"Bernard, H",1.25
197,"Evans, M",195,"Bernard, H",0.25
197,"Evans, M",196,"Killworth, P",0.25
198,"Mccarty, C",195,"Bernard, H",0.25
198,"Mccarty, C",196,"Killworth, P",0.25
198,"Mccarty, C",197,"Evans, M",0.25
199,"Shelley, G",195,"Bernard, H",0.25
199,"Shelley, G",196,"Killworth, P",0.25
199,"Shelley, G",197,"Evans, M",0.25
199,"Shelley, G",198,"Mccarty, C",0.25
201,"Galas, D",200,"Bhan, A",0.5
201,"Galas, D",24,"Chung, F",0.333333
201,"Galas, D",25,"Lu, L",0.333333
202,"Dewey, T",200,"Bhan, A",0.5
202,"Dewey, T",201,"Galas, D",0.833333
202,"Dewey, T",24,"Chung, F",0.333333
202,"Dewey, T",25,"Lu, L",0.333333
203,"Capocci, A",131,"Bianconi, G",1
206,"Peterson, C",205,"Bilke, S",1
208,"Chang, C",207,"Blanchard, P",0.5
209,"Kruger, T",207,"Blanchard, P",0.5
209,"Kruger, T",208,"Chang, C",0.5
211,"Huppert, A",210,"Blasius, B",0.5
212,"Stone, L",210,"Blasius, B",0.5
212,"Stone, L",211,"Huppert, A",0.5
214,"Samuel, M",213,"Blower, S",0.5
215,"Wiley, J",213,"Blower, S",0.5
215,"Wiley, J",214,"Samuel, M",0.5
216,"Boccaletti, S",48,"Arecchi, F",0.333333
216,"Boccaletti, S",136,"Pecora, L",0.5
217,"Bragard, J",216,"Boccaletti, S",1.08333
217,"Bragard, J",48,"Arecchi, F",0.333333
218,"Mancini, H",216,"Boccaletti, S",1.66667
218,"Mancini, H",217,"Bragard, J",1.08333
218,"Mancini, H",48,"Arecchi, F",0.333333
219,"Kurths, J",216,"Boccaletti, S",0.5
219,"Kurths, J",218,"Mancini, H",0.25
220,"Valladares, D",216,"Boccaletti, S",1.5
220,"Valladares, D",219,"Kurths, J",0.5
220,"Valladares, D",218,"Mancini, H",0.25
221,"Osipov, G",216,"Boccaletti, S",0.25
221,"Osipov, G",219,"Kurths, J",0.583333
221,"Osipov, G",220,"Valladares, D",0.25
222,"Zhou, C",216,"Boccaletti, S",0.25
222,"Zhou, C",219,"Kurths, J",1.75
222,"Zhou, C",220,"Valladares, D",0.25
222,"Zhou, C",221,"Osipov, G",0.25
223,"Pelaez, A",216,"Boccaletti, S",0.5
223,"Pelaez, A",136,"Pecora, L",0.5
224,"Maza, D",216,"Boccaletti, S",0.583333
224,"Maza, D",220,"Valladares, D",0.25
224,"Maza, D",219,"Kurths, J",0.25
224,"Maza, D",218,"Mancini, H",0.583333
225,"Boguna, M",150,"Pastorsatorras, R",2.08333
225,"Boguna, M",96,"Diazguilera, A",0.333333
225,"Boguna, M",94,"Arenas, A",0.333333
225,"Boguna, M",151,"Vespignani, A",0.75
227,"Minai, A",226,"Bohland, J",1
229,"Riordan, O",228,"Bollobas, B",1.33333
230,"Spencer, J",228,"Bollobas, B",0.333333
230,"Spencer, J",229,"Riordan, O",0.333333
231,"Tusnady, G",228,"Bollobas, B",0.333333
231,"Tusnady, G",229,"Riordan, O",0.333333
231,"Tusnady, G",230,"Spencer, J",0.333333
234,"Lillo, F",233,"Bonanno, G",0.5
235,"Mantegna, R",233,"Bonanno, G",0.5
235,"Mantegna, R",234,"Lillo, F",0.5
235,"Mantegna, R",72,"Stanley, H",1
238,"Gomez, I",237,"Bordens, M",1
240,"Everett, M",239,"Borgatti, S",1
241,"Foster, P",239,"Borgatti, S",1
243,"Kopell, N",242,"Borgers, C",1
245,"Ebel, H",244,"Bornholdt, S",3.5
246,"Rohlf, T",244,"Bornholdt, S",1
247,"Schuster, H",244,"Bornholdt, S",1
249,"Dong, H",248,"Bota, M",0.5
250,"Swanson, L",248,"Bota, M",0.5
250,"Swanson, L",249,"Dong, H",0.5
251,"Mendoza, C",217,"Bragard, J",0.25
251,"Mendoza, C",216,"Boccaletti, S",0.25
251,"Mendoza, C",218,"Mancini, H",0.25
252,"Hentschel, H",217,"Bragard, J",0.25
252,"Hentschel, H",216,"Boccaletti, S",0.5
252,"Hentschel, H",251,"Mendoza, C",0.25
252,"Hentschel, H",218,"Mancini, H",0.25
255,"Boorman, S",254,"Breiger, R",1
256,"Arabie, P",254,"Breiger, R",0.5
256,"Arabie, P",255,"Boorman, S",0.5
259,"Page, L",258,"Brin, S",1.33333
261,"Hammersley, J",260,"Broadbent, S",1
263,"Kumar, R",262,"Broder, A",0.142857
264,"Maghoul, F",262,"Broder, A",0.142857
264,"Maghoul, F",263,"Kumar, R",0.142857
265,"Raghavan, P",262,"Broder, A",0.142857
265,"Raghavan, P",263,"Kumar, R",0.67619
265,"Raghavan, P",264,"Maghoul, F",0.142857
266,"Rajagopalan, S",262,"Broder, A",0.142857
266,"Rajagopalan, S",263,"Kumar, R",0.67619
266,"Rajagopalan, S",264,"Maghoul, F",0.142857
266,"Rajagopalan, S",265,"Raghavan, P",0.92619
267,"Stata, R",262,"Broder, A",0.142857
267,"Stata, R",263,"Kumar, R",0.142857
267,"Stata, R",264,"Maghoul, F",0.142857
267,"Stata, R",265,"Raghavan, P",0.142857
267,"Stata, R",266,"Rajagopalan, S",0.142857
268,"Tomkins, A",262,"Broder, A",0.142857
268,"Tomkins, A",263,"Kumar, R",0.67619
268,"Tomkins, A",264,"Maghoul, F",0.142857
268,"Tomkins, A",265,"Raghavan, P",0.92619
268,"Tomkins, A",266,"Rajagopalan, S",0.92619
268,"Tomkins, A",267,"Stata, R",0.142857
269,"Wiener, J",262,"Broder, A",0.142857
269,"Wiener, J",263,"Kumar, R",0.142857
269,"Wiener, J",264,"Maghoul, F",0.142857
269,"Wiener, J",265,"Raghavan, P",0.142857
269,"Wiener, J",266,"Rajagopalan, S",0.142857
269,"Wiener, J",267,"Stata, R",0.142857
269,"Wiener, J",268,"Tomkins, A",0.142857
271,"Claffy, K",270,"Broida, A",1
274,"Coull, J",273,"Buchel, C",0.5
275,"Friston, K",273,"Buchel, C",0.5
275,"Friston, K",274,"Coull, J",0.5
277,"Fortuna, L",276,"Bucolo, M",0.5
278,"Larosa, M",276,"Bucolo, M",0.5
278,"Larosa, M",277,"Fortuna, L",1
280,"Gautrais, J",279,"Buhl, J",0.166667
281,"Sole, R",279,"Buhl, J",0.166667
281,"Sole, R",280,"Gautrais, J",0.166667
281,"Sole, R",78,"Newman, M",1
281,"Sole, R",150,"Pastorsatorras, R",1.83333
282,"Kuntz, P",279,"Buhl, J",0.166667
282,"Kuntz, P",280,"Gautrais, J",0.166667
282,"Kuntz, P",281,"Sole, R",0.166667
283,"Valverde, S",279,"Buhl, J",0.166667
283,"Valverde, S",280,"Gautrais, J",0.166667
283,"Valverde, S",281,"Sole, R",3.16667
283,"Valverde, S",282,"Kuntz, P",0.166667
284,"Deneubourg, J",279,"Buhl, J",0.166667
284,"Deneubourg, J",280,"Gautrais, J",0.166667
284,"Deneubourg, J",281,"Sole, R",0.166667
284,"Deneubourg, J",282,"Kuntz, P",0.166667
284,"Deneubourg, J",283,"Valverde, S",0.166667
285,"Theraulaz, G",279,"Buhl, J",0.166667
285,"Theraulaz, G",280,"Gautrais, J",0.166667
285,"Theraulaz, G",281,"Sole, R",0.166667
285,"Theraulaz, G",282,"Kuntz, P",0.166667
285,"Theraulaz, G",283,"Valverde, S",0.166667
285,"Theraulaz, G",284,"Deneubourg, J",0.166667
287,"Correia, J",286,"Burda, Z",0.5
288,"Krzywicki, A",286,"Burda, Z",1
288,"Krzywicki, A",287,"Correia, J",0.5
289,"Jurkiewicz, J",286,"Burda, Z",0.5
289,"Jurkiewicz, J",288,"Krzywicki, A",0.5
291,"Cassi, D",290,"Burioni, R",0.5
292,"Vezzani, A",290,"Burioni, R",0.5
292,"Vezzani, A",291,"Cassi, D",0.5
294,"Young, M",293,"Burns, G",2.1
297,"Chrobak, J",296,"Buzsaki, G",1
298,"Geisler, C",296,"Buzsaki, G",0.333333
299,"Henze, D",296,"Buzsaki, G",0.333333
299,"Henze, D",298,"Geisler, C",0.333333
300,"Wang, X",296,"Buzsaki, G",1.33333
300,"Wang, X",298,"Geisler, C",0.333333
300,"Wang, X",299,"Henze, D",0.333333
301,"Caldarelli, G",203,"Capocci, A",1.16667
301,"Caldarelli, G",150,"Pastorsatorras, R",0.5
301,"Caldarelli, G",151,"Vespignani, A",0.5
301,"Caldarelli, G",162,"Battiston, S",0.25
302,"Delosrios, P",301,"Caldarelli, G",1.33333
302,"Delosrios, P",203,"Capocci, A",0.833333
303,"Munoz, M",301,"Caldarelli, G",0.333333
303,"Munoz, M",203,"Capocci, A",0.333333
303,"Munoz, M",302,"Delosrios, P",0.333333
304,"Coccetti, F",301,"Caldarelli, G",0.5
304,"Coccetti, F",302,"Delosrios, P",0.5
305,"Callaway, D",78,"Newman, M",0.583333
306,"Hopcroft, J",305,"Callaway, D",0.25
306,"Hopcroft, J",78,"Newman, M",0.25
307,"Kleinberg, J",305,"Callaway, D",0.25
307,"Kleinberg, J",306,"Hopcroft, J",0.25
307,"Kleinberg, J",78,"Newman, M",0.25
307,"Kleinberg, J",265,"Raghavan, P",0.25
307,"Kleinberg, J",266,"Rajagopalan, S",0.25
307,"Kleinberg, J",268,"Tomkins, A",0.25
308,"Strogatz, S",305,"Callaway, D",0.583333
308,"Strogatz, S",306,"Hopcroft, J",0.25
308,"Strogatz, S",307,"Kleinberg, J",0.25
308,"Strogatz, S",78,"Newman, M",1.58333
309,"Watts, D",305,"Callaway, D",0.333333
309,"Watts, D",78,"Newman, M",3.33333
309,"Watts, D",308,"Strogatz, S",2.33333
310,"Camacho, J",97,"Guimera, R",0.5
310,"Camacho, J",69,"Amaral, L",0.5
312,"Reece, J",311,"Campbell, N",1
314,"Wang, D",313,"Campbell, S",0.5
315,"Jayaprakash, C",313,"Campbell, S",0.5
315,"Jayaprakash, C",314,"Wang, D",0.5
316,"Servedio, V",203,"Capocci, A",0.333333
316,"Servedio, V",301,"Caldarelli, G",0.583333
316,"Servedio, V",162,"Battiston, S",0.25
317,"Colaiori, F",203,"Capocci, A",0.333333
317,"Colaiori, F",316,"Servedio, V",0.333333
317,"Colaiori, F",301,"Caldarelli, G",0.333333
319,"Doyle, J",318,"Carlson, J",1
321,"Lynch, V",320,"Carreras, B",0.833333
322,"Dobson, I",320,"Carreras, B",0.333333
322,"Dobson, I",321,"Lynch, V",0.333333
323,"Newman, D",320,"Carreras, B",0.666667
323,"Newman, D",321,"Lynch, V",0.333333
323,"Newman, D",322,"Dobson, I",0.333333
324,"Dolrou, I",320,"Carreras, B",0.333333
324,"Dolrou, I",323,"Newman, D",0.333333
325,"Poole, A",320,"Carreras, B",0.333333
325,"Poole, A",323,"Newman, D",0.333333
325,"Poole, A",324,"Dolrou, I",0.333333
327,"Latora, V",326,"Caruso, F",0.333333
327,"Latora, V",30,"Albert, R",0.333333
328,"Rapisarda, A",326,"Caruso, F",0.333333
328,"Rapisarda, A",327,"Latora, V",1.16667
329,"Tadic, B",326,"Caruso, F",0.333333
329,"Tadic, B",327,"Latora, V",0.333333
329,"Tadic, B",328,"Rapisarda, A",0.333333
330,"Castellano, C",151,"Vespignani, A",0.5
331,"Vilone, D",330,"Castellano, C",0.5
331,"Vilone, D",151,"Vespignani, A",0.5
333,"Coates, T",332,"Catania, J",0.333333
334,"Kegels, S",332,"Catania, J",0.333333
334,"Kegels, S",333,"Coates, T",0.333333
335,"Fullilove, M",332,"Catania, J",0.333333
335,"Fullilove, M",333,"Coates, T",0.333333
335,"Fullilove, M",334,"Kegels, S",0.333333
337,"Zhang, Y",336,"Challet, D",1
339,"Hughes, B",338,"Chan, D",0.333333
340,"Leong, A",338,"Chan, D",0.333333
340,"Leong, A",339,"Hughes, B",0.333333
341,"Reed, W",338,"Chan, D",0.333333
341,"Reed, W",339,"Hughes, B",1.33333
341,"Reed, W",340,"Leong, A",0.333333
343,"Pikovsky, A",342,"Chate, H",0.5
343,"Pikovsky, A",221,"Osipov, G",0.333333
343,"Pikovsky, A",219,"Kurths, J",2.47619
344,"Rudzick, O",342,"Chate, H",0.5
344,"Rudzick, O",343,"Pikovsky, A",0.5
345,"Chavez, M",252,"Hentschel, H",0.25
345,"Chavez, M",216,"Boccaletti, S",0.583333
346,"Hwang, D",345,"Chavez, M",0.583333
346,"Hwang, D",252,"Hentschel, H",0.25
346,"Hwang, D",216,"Boccaletti, S",0.916667
347,"Amann, A",345,"Chavez, M",0.583333
347,"Amann, A",346,"Hwang, D",0.583333
347,"Amann, A",252,"Hentschel, H",0.25
347,"Amann, A",216,"Boccaletti, S",0.583333
349,"Chang, H",348,"Chen, Q",0.2
350,"Govindan, R",348,"Chen, Q",0.2
350,"Govindan, R",349,"Chang, H",0.2
351,"Jamin, S",348,"Chen, Q",0.2
351,"Jamin, S",349,"Chang, H",0.2
351,"Jamin, S",350,"Govindan, R",0.2
352,"Shenker, S",348,"Chen, Q",0.2
352,"Shenker, S",349,"Chang, H",0.2
352,"Shenker, S",350,"Govindan, R",0.2
352,"Shenker, S",351,"Jamin, S",0.2
353,"Willinger, W",348,"Chen, Q",0.2
353,"Willinger, W",349,"Chang, H",0.2
353,"Willinger, W",350,"Govindan, R",0.2
353,"Willinger, W",351,"Jamin, S",0.2
353,"Willinger, W",352,"Shenker, S",0.2
355,"Rangarajan, G",354,"Chen, Y",0.5
356,"Ding, M",354,"Chen, Y",0.5
356,"Ding, M",355,"Rangarajan, G",0.5
358,"Changizi, M",357,"Cherniak, C",0.833333
359,"Kang, D",357,"Cherniak, C",0.5
